user_id,recomendations
1,"[874972, 962568, 1132231, 965766, 1046816]"
2,"[874972, 951412, 1003188, 947798, 1133018]"
3,"[874972, 1133018, 908531, 13842214, 827683]"
4,"[874972, 1029743, 1082185, 1127831, 951590]"
5,"[874972, 1082185, 1106523, 1127831, 951590]"
6,"[12384953, 960791, 5580166, 986912, 995242]"
7,"[874972, 1133018, 1055504, 1122358, 1003188]"
8,"[874972, 1062002, 846334, 909714, 867138]"
9,"[874972, 995242, 918046, 1056005, 883404]"
10,"[874972, 986912, 1106523, 1043766, 1029743]"
11,"[874972, 1029743, 1082185, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[874972, 6464165, 8090539, 1038985, 862070]"
14,"[1015785, 985893, 1122358, 921836, 1029743]"
15,"[874972, 1098844, 10341697, 1070820, 901666]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 951590, 981760, 1029743, 1082185]"
18,"[878715, 904813, 5568729, 9677886, 951412]"
19,"[874972, 893501, 882604, 962229, 1106523]"
20,"[874972, 911614, 1086740, 1075368, 1126899]"
21,"[874972, 1058997, 947798, 940731, 9419525]"
22,"[956599, 881047, 1043837, 1070820, 944836]"
23,"[1034176, 12648296, 1029743, 1082185, 1106523]"
24,"[844462, 914318, 5569327, 1036501, 1106523]"
25,"[874972, 1133018, 1043751, 8090521, 929018]"
26,"[874972, 1081189, 834158, 905072, 1106301]"
27,"[874972, 1082185, 996425, 963686, 9245108]"
28,"[948670, 1119051, 921836, 878996, 943233]"
29,"[874972, 1029743, 1082185, 1106523, 1127831]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[860248, 1082990, 6034857, 1126899, 898847]"
32,"[874972, 1058997, 981760, 843111, 992986]"
33,"[836445, 1106301, 5981267, 1081177, 871756]"
34,"[874972, 1101010, 856772, 1044805, 993638]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 901062, 891752, 962229, 1029743]"
37,"[874972, 1122358, 904813, 1067695, 1046689]"
38,"[874972, 1029743, 1127831, 1082185, 951590]"
39,"[874972, 12782182, 965982, 1127716, 6602697]"
40,"[874972, 939636, 825365, 1083043, 903325]"
41,"[874972, 845307, 865705, 909714, 5585510]"
42,"[874972, 963686, 928123, 839656, 6602697]"
43,"[874972, 1095068, 821787, 1029743, 1082185]"
44,"[874972, 1082185, 1106523, 1127831, 951590]"
45,"[874972, 1029743, 1082185, 1127831, 951590]"
46,"[1108094, 5572738, 836445, 889649, 8090532]"
47,"[9677366, 1040935, 907308, 9487606, 1126252]"
48,"[874972, 1029743, 1082185, 1127831, 951590]"
49,"[1000753, 1058997, 908531, 6602697, 862732]"
50,"[874972, 962229, 1093603, 908531, 1029743]"
51,"[874972, 1088147, 880427, 1029743, 867469]"
52,"[874972, 898847, 1093113, 5569230, 832678]"
53,"[874972, 1082185, 859427, 5569471, 6034857]"
54,"[874972, 1029743, 1082185, 1127831, 951590]"
55,"[874972, 1082185, 899624, 844165, 995242]"
56,"[904997, 922561, 1119051, 1058997, 908531]"
57,"[874972, 9676866, 1065593, 9297062, 1011141]"
58,"[874972, 10457044, 934399, 915493, 1070820]"
59,"[874972, 937928, 909338, 1133018, 833025]"
60,"[874972, 1029743, 1082185, 1127831, 951590]"
61,"[874972, 1029743, 1082185, 1127831, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 1127831]"
63,"[874972, 970619, 1029743, 1082185, 1106523]"
64,"[982469, 901460, 996425, 1138189, 1065593]"
65,"[874972, 5568378, 1118281, 986912, 965766]"
66,"[874972, 1082185, 1106523, 1127831, 951590]"
67,"[12810391, 845193, 926905, 971922, 965530]"
68,"[874972, 901460, 959272, 947798, 879755]"
69,"[874972, 842707, 1043663, 1044188, 1101173]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 13841744, 965766, 926905, 1056509]"
72,"[874972, 1029743, 1082185, 1106523, 1127831]"
73,"[874972, 1029743, 951590, 1082185, 1127831]"
74,"[874972, 1029743, 1082185, 1127831, 951590]"
75,"[874972, 1029743, 1082185, 1106523, 1127831]"
76,"[874972, 1029743, 1082185, 1127831, 951590]"
77,"[874972, 1127758, 948832, 1126899, 873964]"
78,"[874972, 1104349, 12262992, 1039627, 923746]"
79,"[874972, 921504, 871756, 862349, 1053690]"
80,"[874972, 9926758, 854042, 986912, 953180]"
81,"[874972, 916381, 1076769, 995242, 1000050]"
82,"[874972, 929726, 917816, 1029743, 1082185]"
83,"[874972, 1075214, 840361, 1029743, 1082185]"
84,"[874972, 5565369, 830887, 1029743, 1082185]"
85,"[874972, 6463727, 840386, 1139782, 14106445]"
86,"[874972, 971922, 1101010, 1106523, 951590]"
87,"[874972, 965963, 8293385, 1029743, 1082185]"
88,"[874972, 1070820, 916993, 8090521, 13115914]"
